generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,best_distance,avg_distance,diversity
33,98,-2193.708111927769,-250.85434246793034,-1183.6514795639944,728.5371553940428,140.85434246793034,136.39870853087035,0.755
34,98,-2200.0074898008324,-250.85434246793034,-1096.6458976585266,728.5546649454194,140.85434246793034,133.91355108874478,0.692
35,98,-2099.47888422788,-250.85434246793034,-1120.9190810167179,762.1404757515708,140.85434246793034,136.12277398097385,0.713
36,98,-2179.784020974058,-250.85434246793034,-1202.9134940755957,769.9705800850819,140.85434246793034,137.6731253548633,0.595
37,98,-2202.4049596653194,-250.3245907276775,-1126.7184881642136,742.3473594307062,140.3245907276775,134.44699356842634,0.639
38,98,-2128.4980990090744,-250.3245907276775,-1163.1739801020665,753.6061615917329,140.3245907276775,135.54213604448552,0.721
39,98,-2162.8098296134885,-250.3245907276775,-1074.156969617932,728.9346087973713,140.3245907276775,135.5279805921086,0.697
40,98,-2225.036821070134,-245.95985423569834,-1082.55366771544,719.21753554955,135.95985423569834,134.23247624389882,0.592
41,98,-2136.0329235644813,-242.9930979792873,-1250.9631344564707,772.8295641540375,132.9930979792873,138.41957711736288,0.656
42,98,-2170.272834888543,-241.6616012075588,-1243.5977454510792,730.3475361094178,131.6616012075588,134.9539089283808,0.808
43,98,-2220.1576567403595,-241.6616012075588,-1269.0427803258992,707.7913030230433,131.6616012075588,133.709007191285,0.776
44,98,-2198.1651242970756,-241.6616012075588,-1208.5378784559487,687.0254299830316,131.6616012075588,129.82094747904313,0.704
45,98,-2085.1141110693807,-241.6616012075588,-1187.2857853734195,711.4007887776984,131.6616012075588,131.5675911289825,0.711
46,98,-2095.144344738449,-241.6616012075588,-1193.8972590435922,729.6447314322361,131.6616012075588,131.5875290075211,0.695
47,98,-2168.1103974276293,-241.6616012075588,-1158.2544987112344,677.7899912693475,131.6616012075588,125.94919696916342,0.732
48,98,-2121.2895193054073,-241.6616012075588,-1082.4621851112097,708.5944691485129,131.6616012075588,128.02007173575464,0.686
49,98,-2195.3224430890186,-241.6616012075588,-1138.2103383490523,752.286784763947,131.6616012075588,130.82491969533714,0.794
50,98,-2139.2944124699793,-241.6616012075588,-1106.1478338748932,727.4371675516986,131.6616012075588,128.4219589317037,0.683
51,98,-2168.1103974276293,-241.6616012075588,-1074.5404490561396,756.8634612988128,131.6616012075588,130.89229011983076,0.669
52,98,-2086.3199366496397,-241.6616012075588,-1089.3336656270128,755.1231433479469,131.6616012075588,131.44410081644776,0.707
53,98,-2139.2944124699793,-241.6616012075588,-1108.7541131498504,765.5150673502869,131.6616012075588,130.563123799498,0.677
54,98,-2131.574286225195,-241.6616012075588,-1074.8279454489223,709.3409193847054,131.6616012075588,128.57693520546377,0.625
55,98,-2086.3199366496397,-241.6616012075588,-1104.2831379664021,682.3197491831272,131.6616012075588,127.34584157077074,0.708
56,98,-2077.6379715795665,-239.69549025979467,-1033.7740681654525,725.5750173670089,129.69549025979467,128.43831198733355,0.581
57,98,-2050.489192826165,-239.69549025979467,-1173.0046582266843,695.8681412414146,129.69549025979467,128.9217659171357,0.748
58,98,-2134.8656877578023,-239.69549025979467,-1287.544247088373,699.1889053829138,129.69549025979467,129.9957441069047,0.755
59,98,-2168.1103974276293,-239.69549025979467,-1057.6831026182497,718.2559424488769,129.69549025979467,128.2952834695355,0.736
60,98,-2086.3199366496397,-239.69549025979467,-1228.5997855046983,685.9436593711729,129.69549025979467,129.47546372518838,0.696
61,98,-2047.8071014222767,-239.69549025979467,-1145.0894930657382,663.1639983303882,129.69549025979467,126.13608701699019,0.64
62,98,-2056.3430196717673,-239.69549025979467,-1151.8222289957012,708.8031477126726,129.69549025979467,127.68043145232721,0.68
63,98,-2146.4831770022242,-239.69549025979467,-1197.628229803923,671.4950562649354,129.69549025979467,126.98149788379924,0.735
64,98,-1972.4648264563289,-239.69549025979467,-1233.146287224118,691.6346141727103,129.69549025979467,128.41460934648154,0.734
65,98,-2146.4831770022242,-239.69549025979467,-1243.8272795105142,656.96500453936,129.69549025979467,127.4524525680855,0.78
66,98,-2146.4831770022242,-239.69549025979467,-1216.5605429699353,699.6513495837504,129.69549025979467,129.0503778180554,0.78
