method,total_distance,num_routes,num_customers,num_vehicles_used,execution_time,avg_route_length,max_route_length,min_route_length,route_length_std,avg_utilization,max_utilization,min_utilization,utilization_std,load_balance_index,total_cost,cost_per_km,cost_per_customer,cost_per_route,solution_quality,efficiency_score,feasibility_score,constraint_violations,is_feasible,fitness,penalty,shipping_total_cost,shipping_cost_per_km,shipping_cost_per_customer,shipping_cost_per_route,shipping_service_type,shipping_cost_model,shipping_route_costs
GA,344.7370418233369,2,50,2,1.7813701629638672,25.0,27,23,2.0,90.5,94.5,86.5,4.0,0.9558011049723757,344.7370418233369,1.0,6.894740836466737,172.36852091166844,0.002892371597576679,0.5256505029668391,1.0,"{'total_violations': 0.0, 'capacity_violations': False, 'vehicle_count_violations': False, 'customer_visit_violations': False, 'depot_violations': False, 'time_window_violations': False}",True,0.0023488677323383065,0.0,2241217.2112376876,6501.236999029006,44824.34422475375,1120608.6056188438,express,ahamove,"[{'route_id': 1, 'route': [0, 19, 25, 4, 18, 42, 49, 47, 40, 39, 50, 35, 45, 46, 41, 20, 38, 24, 29, 33, 21, 27, 28, 48, 30, 26, 23, 22, 11, 0], 'distance': np.float64(187.0708618693987), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(1013618.654094753), 'stop_cost': 154000, 'cod_cost': 110940.0826045117, 'waiting_cost': 0, 'total_cost': np.float64(1278558.7366992645)}}, {'route_id': 2, 'route': [0, 3, 12, 31, 32, 43, 37, 34, 36, 44, 5, 17, 15, 2, 16, 13, 14, 8, 9, 10, 7, 6, 1, 0], 'distance': np.float64(140.45760155085338), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(761907.0483746083), 'stop_cost': 121000, 'cod_cost': 79751.42616381473, 'waiting_cost': 0, 'total_cost': np.float64(962658.474538423)}}]"
Nearest Neighbor,323.0686006673986,2,50,2,0.0011930465698242188,25.0,29,21,4.0,90.5,99.5,81.5,9.0,0.9005524861878453,323.0686006673986,1.0,6.4613720133479715,161.5343003336993,0.003085766402362228,0.501344803798514,1.0,"{'total_violations': 0.0, 'capacity_violations': False, 'vehicle_count_violations': False, 'customer_visit_violations': False, 'depot_violations': False, 'time_window_violations': False}",True,0.003085766402362228,0.0,2204220.0447517615,6822.7616060436085,44084.40089503523,1102110.0223758807,express,ahamove,"[{'route_id': 1, 'route': [0, 1, 6, 7, 14, 13, 8, 9, 10, 16, 2, 15, 17, 5, 22, 47, 26, 23, 30, 48, 28, 27, 21, 33, 29, 24, 38, 20, 41, 46, 0], 'distance': np.float64(135.38624297101785), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(734521.7120434964), 'stop_cost': 159500, 'cod_cost': 104021.30918062337, 'waiting_cost': 0, 'total_cost': np.float64(998043.0212241198)}}, {'route_id': 2, 'route': [0, 11, 3, 12, 19, 25, 4, 31, 32, 18, 42, 49, 40, 39, 50, 35, 45, 44, 36, 34, 37, 43, 0], 'distance': np.float64(187.6823576963808), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(1016920.7315604562), 'stop_cost': 115500, 'cod_cost': 73756.29196718558, 'waiting_cost': 0, 'total_cost': np.float64(1206177.0235276418)}}]"
Improvement (%),-6.71%,0.00%,0.00%,0.00%,-149212.71%,0.00%,-6.90%,9.52%,-50.00%,0.00%,-5.03%,6.13%,-55.56%,6.13%,-6.71%,0.00%,6.71%,6.71%,-6.27%,4.85%,0.00%,,0.00%,-23.88%,,1.68%,-4.71%,1.68%,1.68%,,,
