generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,best_distance,avg_distance,diversity
0,150,-2525.1070919428653,-220.0567663023566,-1212.70414809152,780.6086647852532,100.0567663023566,151.10714282887395,0.802
1,150,-2413.071234809546,-220.0567663023566,-1262.4145917324488,812.6233455471288,100.0567663023566,150.48298106683487,0.809
2,150,-2325.3791348021264,-220.0567663023566,-1263.9997634628994,774.4592260082338,100.0567663023566,144.5939142934018,0.816
3,150,-2335.062378205678,-220.0567663023566,-1265.762209278618,753.1593761310188,100.0567663023566,136.0486090645536,0.879
4,150,-2280.199167023091,-220.0567663023566,-1195.6888077424203,719.8326933414136,100.0567663023566,129.31689599923862,0.867
5,150,-2157.666565184026,-214.52706020875524,-1068.102879311714,703.2294394788224,94.52706020875523,123.2367346607187,0.846
6,150,-2168.465446646599,-214.52706020875524,-1193.9817211713378,706.2509963921245,94.52706020875523,121.61319368402816,0.824
7,150,-2119.1092170254888,-214.52706020875524,-1232.1893125723007,658.4190410286867,94.52706020875523,117.97289585243969,0.873
8,150,-2099.1867753261577,-213.13415165284425,-1098.7979215734126,684.8310307925062,93.13415165284425,114.07881697763122,0.823
9,150,-2158.7055610355383,-213.13415165284425,-1259.1243117001661,619.2666595517703,93.13415165284425,113.69391030275486,0.871
10,150,-2227.765994928137,-213.13415165284425,-1191.4487764840821,642.0154843684193,93.13415165284425,113.62244343184682,0.831
11,150,-2032.929791450581,-213.13415165284425,-1093.0972033960581,670.9012701964,93.13415165284425,112.2163861259055,0.786
12,150,-1952.8059793520563,-213.13415165284425,-963.5943669272967,675.63912296855,93.13415165284425,108.98566618797378,0.717
13,150,-2136.43066641146,-213.13415165284425,-997.5564581678101,705.6787046317121,93.13415165284425,110.21507359302625,0.754
14,150,-1860.8597573687537,-213.13415165284425,-854.5547326629343,664.6051279127253,93.13415165284425,105.27502002518726,0.74
15,150,-2011.833980060341,-213.13415165284425,-871.7958466784512,681.8514717677256,93.13415165284425,106.76860232335916,0.679
16,150,-1941.666193287906,-212.5456375542546,-908.5512366946614,709.3728776324427,102.54563755425461,107.98290264155638,0.604
17,150,-2082.456886905986,-212.5456375542546,-766.2676213928581,687.8400972523647,102.54563755425461,104.1776075586134,0.458
18,150,-2139.693194804059,-212.5456375542546,-837.0528897596337,679.5619414471572,102.54563755425461,104.34415231406837,0.705
19,150,-1871.5953298362888,-212.5456375542546,-776.889963363391,666.8094381530841,102.54563755425461,103.43475416398466,0.531
20,150,-2073.044146983727,-212.5456375542546,-848.3776928695312,694.3044187386681,102.54563755425461,105.43231032271615,0.601
21,150,-1910.7834846144128,-212.5456375542546,-926.8347086404395,695.5269098338862,102.54563755425461,107.3467791207197,0.704
22,150,-2009.0854894554568,-212.5456375542546,-976.7123884800849,689.1430056019595,102.54563755425461,108.70083809605181,0.62
23,150,-2052.739873563965,-212.5456375542546,-915.6429787040721,677.213696714039,102.54563755425461,109.22010559754416,0.692
24,150,-1978.1865995213623,-212.5456375542546,-931.7581590762098,705.6642776518044,102.54563755425461,110.67356672713731,0.608
25,150,-1915.7299922969962,-212.5456375542546,-914.5485159570918,691.4162769751533,102.54563755425461,109.64826542139942,0.587
26,150,-2012.862328707029,-209.8838015353359,-937.1238303370684,715.3725971328478,89.88380153533589,112.26447946355508,0.679
27,150,-1969.1328922823545,-209.8838015353359,-726.7501670958762,657.9452183766906,89.88380153533589,106.97729344764628,0.498
28,150,-1954.9236030409525,-201.0328195700174,-819.2922076703462,661.1385832708929,81.03281957001741,106.52562955856844,0.641
29,150,-2014.2469268584393,-201.0328195700174,-1001.1594733813448,668.6337729684258,81.03281957001741,109.20809178402517,0.764
30,150,-2018.2527492494698,-200.6833263376953,-900.329230854513,678.9546336810619,80.68332633769529,107.26253160158437,0.782
31,150,-1969.6188660029793,-200.6833263376953,-1113.7370939807436,635.9561536746091,80.68332633769529,108.13730153473148,0.838
