dataset,customers,capacity,vehicles,ga_distance,ga_cost,ga_routes,ga_utilization,ga_efficiency,ga_feasible,generations,population,bks_distance,bks_vehicles,gap_percent,vehicle_diff,quality
RC206,100,200,11,1284.339196422991,1284.339196422991,9,95.77777777777777,0.5391375041569758,False,1000,100,1146.3,3,12.042152701996962,6,VERY_POOR
C208,100,200,12,1300.9049263181741,1300.9049263181741,10,90.5,0.47637097963640074,False,1000,100,588.32,3,121.12199590667902,7,VERY_POOR
RC207,100,200,11,1294.9048729785861,1294.9048729785861,9,95.77777777777777,0.5417694443778713,True,1000,100,1061.1,3,22.034197811571598,6,VERY_POOR
R102,100,200,10,1220.283361815913,1220.283361815913,8,91.125,0.5269521086963963,True,1000,100,1486.1,17,-17.886860788916426,-9,EXCELLENT
C205,100,200,12,1296.364883163099,1296.364883163099,10,90.5,0.48685004509787627,False,1000,100,588.88,3,120.14075586929407,7,VERY_POOR
R207,100,200,10,1152.8625852337595,1152.8625852337595,8,91.125,0.5095926608976513,False,1000,100,897.27,2,28.48558240370898,6,VERY_POOR
R211,100,200,10,1240.2575451973105,1240.2575451973105,8,91.125,0.5277530234459618,False,1000,100,892.71,2,38.931741013017714,6,VERY_POOR
RC102,100,200,11,1410.4153194548785,1410.4153194548785,9,95.77777777777777,0.5351116271066599,False,1000,100,1457.4,12,-3.2238699427145323,-3,EXCELLENT
RC204,100,200,11,1335.2361775069141,1335.2361775069141,9,95.77777777777777,0.5300366342334787,False,1000,100,798.0,3,67.32282926151805,6,VERY_POOR
R101,100,200,10,1268.731562521712,1268.731562521712,8,91.125,0.521354835130219,False,1000,100,1650.8,19,-23.144441330160404,-11,EXCELLENT
C103,100,200,12,1129.1694904659357,1129.1694904659357,10,90.5,0.5249320921680349,False,1000,100,828.06,10,36.36324547326713,0,VERY_POOR
C206,100,200,12,1301.028951066917,1301.028951066917,10,90.5,0.521799589310573,True,1000,100,588.49,3,121.07919439020493,7,VERY_POOR
R204,100,200,10,1189.3470361156928,1189.3470361156928,8,91.125,0.5256077785239172,True,1000,100,825.52,2,44.0724677919,6,VERY_POOR
RC101,100,200,11,1296.2770354413785,1296.2770354413785,9,95.77777777777777,0.5362185531851041,False,1000,100,1619.8,14,-19.97301917265227,-5,EXCELLENT
RC208,100,200,11,1317.3606094702764,1317.3606094702764,9,95.77777777777777,0.54038732493483,False,1000,100,828.14,3,59.0746262069549,6,VERY_POOR
R208,100,200,10,1219.9168011171575,1219.9168011171575,8,91.125,0.5123336170233546,False,1000,100,726.75,2,67.8592089600492,6,VERY_POOR
R209,100,200,10,1207.260871575831,1207.260871575831,8,91.125,0.5198320564562715,True,1000,100,909.68,3,32.71269804500826,5,VERY_POOR
R205,100,200,10,1187.312204001711,1187.312204001711,8,91.125,0.5222698470303053,True,1000,100,994.42,3,19.39745821702209,5,VERY_POOR
C207,100,200,12,1300.4852955205827,1300.4852955205827,10,90.5,0.5057562273217766,False,1000,100,588.29,3,121.06194147794163,7,VERY_POOR
C102,100,200,12,1210.7261888671949,1210.7261888671949,10,90.5,0.5141933978835481,False,1000,100,828.94,10,46.057155990445004,0,VERY_POOR
RC205,100,200,11,1363.5631792838944,1363.5631792838944,9,95.77777777777777,0.5290118678379042,True,1000,100,1297.5,4,5.091574511282809,5,POOR
C109,100,200,12,1122.4580044491508,1122.4580044491508,10,90.5,0.5162081142251201,False,1000,100,828.94,10,35.408835916851736,0,VERY_POOR
R111,100,200,10,1212.329454411381,1212.329454411381,8,91.125,0.5284561124022182,False,1000,100,1048.7,10,15.60307565665881,-2,VERY_POOR
RC202,100,200,11,1347.5086909523243,1347.5086909523243,10,86.2,0.4709093467212299,False,1000,100,1365.6,3,-1.3247883016751334,7,EXCELLENT
R107,100,200,10,1342.7897221098547,1342.7897221098547,8,91.125,0.5501358458529194,True,1000,100,1104.6,10,21.56343672911957,-2,VERY_POOR
C105,100,200,12,1075.5209795794985,1075.5209795794985,10,90.5,0.4843861109191386,False,1000,100,828.94,10,29.746541315354364,0,VERY_POOR
R202,100,200,10,1244.0270127346137,1244.0270127346137,8,91.125,0.5316436670564143,True,1000,100,1191.7,3,4.390955167795051,5,ACCEPTABLE
RC107,100,200,11,1270.904944050811,1270.904944050811,9,95.77777777777777,0.5330035157333968,False,1000,100,1207.8,10,5.224784240007545,-1,POOR
RC106,100,200,11,1462.2042790033834,1462.2042790033834,9,95.77777777777777,0.5482382237020653,False,1000,100,1373.2,11,6.481523376302309,-2,POOR
R203,100,200,10,1159.3604555923332,1159.3604555923332,8,91.125,0.5250641186341685,True,1000,100,939.5,3,23.401857966187674,5,VERY_POOR
C201,100,200,12,1207.299432348648,1207.299432348648,10,90.5,0.4960385335619529,False,1000,100,591.56,3,104.0874015059585,7,VERY_POOR
R106,100,200,10,1177.0926191258113,1177.0926191258113,8,91.125,0.542131973413929,True,1000,100,1252.4,12,-6.013045422723471,-4,EXCELLENT
RC203,100,200,11,1328.0726949525756,1328.0726949525756,9,95.77777777777777,0.5387405039585865,False,1000,100,1049.6,3,26.531316211182897,6,VERY_POOR
R110,100,200,10,1303.606830616239,1303.606830616239,8,91.125,0.5419536086109982,True,1000,100,1068.0,10,22.060564664441852,-2,VERY_POOR
C108,100,200,12,1072.7613927842342,1072.7613927842342,10,90.5,0.5315413702670793,True,1000,100,828.94,10,29.413635822162536,0,VERY_POOR
