method,total_distance,num_routes,num_customers,num_vehicles_used,execution_time,avg_route_length,max_route_length,min_route_length,route_length_std,avg_utilization,max_utilization,min_utilization,utilization_std,load_balance_index,total_cost,cost_per_km,cost_per_customer,cost_per_route,solution_quality,efficiency_score,feasibility_score,constraint_violations,is_feasible,fitness,penalty,shipping_total_cost,fuel_cost,driver_cost,vehicle_fixed_cost,total_operational_cost,shipping_cost_per_km,total_cost_per_km,shipping_cost_per_customer,total_cost_per_customer,shipping_cost_per_route,total_cost_per_route,total_duration_hours,shipping_service_type,shipping_cost_model,shipping_route_costs,cost_breakdown
GA,118.89393541605996,4,20,4,149.61875581741333,5.0,8,2,2.23606797749979,40.75,57.99999999999999,13.5,17.508926294893126,0.5703330970578374,2200315.1455987627,1.0,46710.99414105345,233554.97070526727,0.00834070544544031,0.44830460102723835,1.0,"{'total_violations': np.float64(537.5281064816932), 'capacity_violations': False, 'vehicle_count_violations': False, 'customer_visit_violations': False, 'depot_violations': False, 'time_window_violations': 1}",False,-203.5752261807359,0.0,1132880.8233797762,475575.74166423985,291858.5805547466,300000,1067434.3222189865,9528.499661613094,18506.538099684676,56644.04116898881,110015.75727993813,283220.20584494405,550078.7863996907,7.296464513868665,express,ahamove,"[{'route_id': 1, 'route': [0, 6, 13, 9, 14, 20, 18, 2, 1, 0], 'distance': np.float64(39.72494151870703), 'duration_hours': np.float64(2.6574980506235675), 'cost_breakdown': {'base_cost': 19000, 'distance_cost': np.float64(262712.11987159564), 'stop_cost': 52000, 'cod_cost': 24360.85106774376, 'waiting_cost': 48249.052563528545, 'total_cost': np.float64(387322.0235028679)}}, {'route_id': 2, 'route': [0, 7, 17, 4, 11, 0], 'distance': np.float64(26.300901801915444), 'duration_hours': np.float64(1.5433633933971813), 'cost_breakdown': {'base_cost': 19000, 'distance_cost': np.float64(175455.8617124504), 'stop_cost': 26000, 'cod_cost': 16095.535553833111, 'waiting_cost': 31724.67490592262, 'total_cost': np.float64(249276.07217220613)}}, {'route_id': 3, 'route': [0, 16, 5, 12, 19, 15, 3, 0], 'distance': np.float64(41.255874777833306), 'duration_hours': np.float64(2.3751958259277766), 'cost_breakdown': {'base_cost': 19000, 'distance_cost': np.float64(272663.1860559165), 'stop_cost': 39000, 'cod_cost': 16814.92728520298, 'waiting_cost': 56244.13015798097, 'total_cost': np.float64(384722.2434991004)}}, {'route_id': 4, 'route': [0, 10, 8, 0], 'distance': np.float64(11.612217317604191), 'duration_hours': np.float64(0.7204072439201397), 'cost_breakdown': {'base_cost': 19000, 'distance_cost': np.float64(79979.41256442724), 'stop_cost': 13000, 'cod_cost': 10263.094280162086, 'waiting_cost': 8317.97736101249, 'total_cost': np.float64(111560.48420560182)}}]","{'shipping': np.float64(1132880.8233797762), 'fuel': np.float64(475575.74166423985), 'driver': np.float64(291858.5805547466), 'vehicle_fixed': 300000, 'total': np.float64(2200315.1455987627)}"
Nearest Neighbor,68.61041605837869,2,20,2,0.00019407272338867188,10.0,12,8,2.0,81.5,97.5,65.5,16.0,0.803680981595092,1452147.7897727655,1.0,25799.5414697039,257995.41469703903,0.014365666183654919,0.4998157961258137,1.0,"{'total_violations': np.float64(6656154.7643934935), 'capacity_violations': False, 'vehicle_count_violations': False, 'customer_visit_violations': False, 'depot_violations': False, 'time_window_violations': 14}",False,0.014365666183654919,0.0,802892.2374614126,274441.66423351475,224813.88807783823,150000,649255.5523113529,11702.19164358738,21165.121466938395,40144.61187307063,72607.38948863828,401446.1187307063,726073.8948863827,5.620347201945956,express,ahamove,"[{'route_id': 1, 'route': [0, 1, 2, 3, 4, 6, 8, 12, 13, 14, 9, 7, 17, 0], 'distance': np.float64(30.500583998544936), 'duration_hours': np.float64(3.016686133284831), 'cost_breakdown': {'base_cost': 19000, 'distance_cost': np.float64(202753.79599054207), 'stop_cost': 78000, 'cod_cost': 38168.10117806852, 'waiting_cost': 86734.37975533395, 'total_cost': np.float64(405656.27692394453)}}, {'route_id': 2, 'route': [0, 5, 11, 10, 15, 16, 19, 20, 18, 0], 'distance': np.float64(38.10983205983375), 'duration_hours': np.float64(2.603661068661125), 'cost_breakdown': {'base_cost': 19000, 'distance_cost': np.float64(252213.90838891937), 'stop_cost': 52000, 'cod_cost': 22868.886802462806, 'waiting_cost': 70153.1653460858, 'total_cost': np.float64(397235.96053746797)}}]","{'shipping': np.float64(802892.2374614126), 'fuel': np.float64(274441.66423351475), 'driver': np.float64(224813.88807783823), 'vehicle_fixed': 150000, 'total': np.float64(1452147.7897727655)}"
Improvement (%),-73.29%,100.00%,0.00%,100.00%,-77094070.27%,-50.00%,-33.33%,-75.00%,11.80%,-50.00%,-40.51%,-79.39%,9.43%,-29.03%,-51.52%,0.00%,81.05%,-9.47%,-41.94%,-10.31%,0.00%,,,-1417195.62%,,41.10%,73.29%,29.82%,100.00%,64.41%,-18.58%,-12.56%,41.10%,51.52%,-29.45%,-24.24%,29.82%,,,,
