dataset,customers,capacity,vehicles,ga_distance,ga_cost,ga_routes,ga_utilization,ga_efficiency,ga_feasible,generations,population,bks_distance,bks_vehicles,gap_percent,vehicle_diff,quality
R109,100,200,10,1073.844689031892,1073.844689031892,9,81.0,0.5277925030035621,True,1000,100,1146.9,11,-6.36980651914798,-2,EXCELLENT
RC105,100,200,11,1165.4645003232392,1165.4645003232392,10,86.2,0.5310639145711944,True,1000,100,1513.7,13,-23.005582326535034,-3,EXCELLENT
C202,100,200,12,1083.8209827120909,1083.8209827120909,10,90.5,0.5318249356958528,False,1000,100,591.56,3,83.21404129962995,7,VERY_POOR
C107,100,200,12,846.8383509639579,846.8383509639579,10,90.5,0.5233055928453894,True,1000,100,828.94,10,2.1591853407915886,0,GOOD
R105,100,200,10,1033.34152009273,1033.34152009273,9,81.0,0.527127583036928,True,1000,100,1377.1,14,-24.96249218700675,-5,EXCELLENT
R112,100,200,10,1077.157717911508,1077.157717911508,8,91.125,0.5328876354080124,True,1000,100,982.0,9,9.690195306670866,-1,POOR
RC201,100,200,11,1188.3562260774395,1188.3562260774395,10,86.2,0.5340152543862345,True,1000,100,1406.9,4,-15.533710563832582,6,EXCELLENT
R104,100,200,10,1077.9345432901625,1077.9345432901625,9,81.0,0.5275994775465872,True,1000,100,1007.3,9,7.012264796005418,0,POOR
C106,100,200,12,847.2458632122364,847.2458632122364,10,90.5,0.5233053661901044,True,1000,100,828.94,10,2.208345985503935,0,GOOD
C203,100,200,12,1101.1803407623509,1101.1803407623509,10,90.5,0.5234775506363974,False,1000,100,591.17,3,86.27135016363329,7,VERY_POOR
R201,100,200,10,1097.438969387785,1097.438969387785,10,72.9,0.5295346926083461,True,1000,100,1252.37,4,-12.371026981819668,6,EXCELLENT
RC104,100,200,11,1197.230281328052,1197.230281328052,10,86.2,0.5318817004196459,True,1000,100,1135.5,10,5.436396418146358,0,POOR
R108,100,200,10,1105.6317167312718,1105.6317167312718,9,81.0,0.5339132327251547,True,1000,100,960.9,9,15.062099774302407,0,VERY_POOR
RC108,100,200,11,1173.0747970930593,1173.0747970930593,10,86.2,0.5308051148066433,False,1000,100,1139.8,10,2.919354017639876,0,GOOD
RC103,100,200,11,1278.3794699766179,1278.3794699766179,10,86.2,0.5252869885602391,False,1000,100,1261.7,11,1.3219838294854431,-1,GOOD
R210,100,200,10,1040.7057527129364,1040.7057527129364,9,81.0,0.5306656098121622,True,1000,100,939.34,3,10.791167491316918,6,VERY_POOR
R206,100,200,10,1154.7096598988198,1154.7096598988198,9,81.0,0.5246614793939689,True,1000,100,906.14,3,27.431705906241845,6,VERY_POOR
C204,100,200,12,1170.9212618200058,1170.9212618200058,10,90.5,0.5132005514784244,False,1000,100,590.6,3,98.25961087368876,7,VERY_POOR
C101,100,200,12,858.9030423824187,858.9030423824187,10,90.5,0.5226809796804353,True,1000,100,828.94,10,3.6146213697515646,0,ACCEPTABLE
R103,100,200,10,1180.3288905887189,1180.3288905887189,9,81.0,0.5390006810435194,True,1000,100,1292.7,13,-8.692744597453482,-4,EXCELLENT
RC206,100,200,11,1200.120852215459,1200.120852215459,10,86.2,0.5354836844826932,True,1000,100,1146.3,3,4.695180338084195,7,ACCEPTABLE
C208,100,200,12,1042.3743893039098,1042.3743893039098,10,90.5,0.5296005630502734,False,1000,100,588.32,3,77.17813253058024,7,VERY_POOR
RC207,100,200,11,1154.0205294631342,1154.0205294631342,10,86.2,0.5279840425182282,True,1000,100,1061.1,3,8.757000232130267,7,POOR
R102,100,200,10,1018.0648522978444,1018.0648522978444,9,81.0,0.529352465202548,True,1000,100,1486.1,17,-31.494189334644744,-8,EXCELLENT
C205,100,200,12,1137.4147465073436,1137.4147465073436,11,82.27272727272727,0.5375684427455166,True,1000,100,588.88,3,93.14881580412708,8,VERY_POOR
R207,100,200,10,1093.079921702086,1093.079921702086,9,81.0,0.5355299134988133,False,1000,100,897.27,2,21.8228539572354,7,VERY_POOR
R211,100,200,10,1084.0841884659324,1084.0841884659324,9,81.0,0.5241094872553868,True,1000,100,892.71,2,21.437441998625793,7,VERY_POOR
RC102,100,200,11,1173.7163942733864,1173.7163942733864,10,86.2,0.5354315516589252,True,1000,100,1457.4,12,-19.465047737519807,-2,EXCELLENT
RC204,100,200,11,1220.0092046430736,1220.0092046430736,10,86.2,0.5317585600484294,False,1000,100,798.0,3,52.88335897782878,7,VERY_POOR
R101,100,200,10,1061.645874983646,1061.645874983646,9,81.0,0.5207234408606992,False,1000,100,1650.8,19,-35.689006846156644,-10,EXCELLENT
C103,100,200,12,834.0526711224957,834.0526711224957,10,90.5,0.5243925926702522,True,1000,100,828.06,10,0.72370010898917,0,EXCELLENT
C206,100,200,12,1108.0682605645857,1108.0682605645857,10,90.5,0.5389046307041241,True,1000,100,588.49,3,88.29007469363722,7,VERY_POOR
R204,100,200,10,1111.5099880215698,1111.5099880215698,9,81.0,0.5164118418840292,False,1000,100,825.52,2,34.64361711667432,7,VERY_POOR
RC101,100,200,11,1197.0548531478685,1197.0548531478685,10,86.2,0.5286239600858484,True,1000,100,1619.8,14,-26.098601484882796,-4,EXCELLENT
RC208,100,200,11,1203.1935070490656,1203.1935070490656,10,86.2,0.5424079608898794,True,1000,100,828.14,3,45.288659773596926,7,VERY_POOR
R208,100,200,10,1028.5067866310033,1028.5067866310033,9,81.0,0.5239953356526357,True,1000,100,726.75,2,41.52140166921269,7,VERY_POOR
R209,100,200,10,1059.8574657273673,1059.8574657273673,9,81.0,0.5233159436097938,True,1000,100,909.68,3,16.50882351237439,6,VERY_POOR
R205,100,200,10,992.5553386874739,992.5553386874739,9,81.0,0.5259374399473876,False,1000,100,994.42,3,-0.18751245072766995,6,EXCELLENT
C207,100,200,12,1111.3360100253062,1111.3360100253062,10,90.5,0.5304091092719294,True,1000,100,588.29,3,88.9095531158623,7,VERY_POOR
C102,100,200,12,855.9093257310669,855.9093257310669,10,90.5,0.5199604853131885,False,1000,100,828.94,10,3.253471388890254,0,ACCEPTABLE
RC205,100,200,11,1220.2601913116841,1220.2601913116841,10,86.2,0.5378515987393334,True,1000,100,1297.5,4,-5.952971767885615,6,EXCELLENT
C109,100,200,12,829.5407094547211,829.5407094547211,10,90.5,0.5199753054269655,True,1000,100,828.94,10,0.07246718154764244,0,EXCELLENT
R111,100,200,10,1010.1155491571975,1010.1155491571975,9,81.0,0.5296615619045438,False,1000,100,1048.7,10,-3.6792648844095104,-1,EXCELLENT
RC202,100,200,11,1171.250251809918,1171.250251809918,10,86.2,0.535284860797798,True,1000,100,1365.6,3,-14.231821044967926,7,EXCELLENT
R107,100,200,10,1080.443229932474,1080.443229932474,9,81.0,0.5278977215821653,True,1000,100,1104.6,10,-2.186924684729852,-1,EXCELLENT
C105,100,200,12,829.6754260240656,829.6754260240656,10,90.5,0.5209251010723825,True,1000,100,828.94,10,0.08871884865798878,0,EXCELLENT
R202,100,200,10,1059.954543562853,1059.954543562853,9,81.0,0.5185462508812174,False,1000,100,1191.7,3,-11.055253540081155,6,EXCELLENT
RC107,100,200,11,1156.6822459512762,1156.6822459512762,10,86.2,0.5329917837867613,True,1000,100,1207.8,10,-4.232302868746794,0,EXCELLENT
RC106,100,200,11,1182.556289903688,1182.556289903688,10,86.2,0.534527112801477,True,1000,100,1373.2,11,-13.883171431423838,-1,EXCELLENT
R203,100,200,10,1084.5945058694244,1084.5945058694244,9,81.0,0.5309099701494219,True,1000,100,939.5,3,15.443800518299566,6,VERY_POOR
C201,100,200,12,1136.4769586057266,1136.4769586057266,11,82.27272727272727,0.5082326017872251,False,1000,100,591.56,3,92.11524758363086,8,VERY_POOR
R106,100,200,10,1100.1187928194063,1100.1187928194063,9,81.0,0.5342888764089405,True,1000,100,1252.4,12,-12.159151004518828,-3,EXCELLENT
RC203,100,200,11,1161.4397708422823,1161.4397708422823,10,86.2,0.5287104207396197,True,1000,100,1049.6,3,10.655465972016236,7,VERY_POOR
R110,100,200,10,1064.128976862647,1064.128976862647,9,81.0,0.5292437629331903,True,1000,100,1068.0,10,-0.36245534993941475,-1,EXCELLENT
C108,100,200,12,906.8414505701966,906.8414505701966,10,90.5,0.5260391322737215,True,1000,100,828.94,10,9.397718842159446,0,POOR
