method,total_distance,num_routes,num_customers,num_vehicles_used,execution_time,avg_route_length,max_route_length,min_route_length,route_length_std,avg_utilization,max_utilization,min_utilization,utilization_std,load_balance_index,total_cost,cost_per_km,cost_per_customer,cost_per_route,solution_quality,efficiency_score,feasibility_score,constraint_violations,is_feasible,fitness,penalty,shipping_total_cost,shipping_cost_per_km,shipping_cost_per_customer,shipping_cost_per_route,shipping_service_type,shipping_cost_model,shipping_route_costs
GA,985.3926622938073,10,100,10,7.866676092147827,10.0,12,7,1.6733200530681511,90.5,100.0,60.0,10.594810050208546,0.8829302756883034,985.3926622938073,1.0,9.853926622938074,98.53926622938073,0.0010137950516324295,0.21439824277321093,0.0,"{'total_violations': 100000.0, 'capacity_violations': False, 'vehicle_count_violations': False, 'customer_visit_violations': True, 'depot_violations': False, 'time_window_violations': False}",False,9.881590007424269e-06,100000.0,17254387.91110734,17510.164801656218,172543.8791110734,1725438.791110734,express,ahamove,"[{'route_id': 1, 'route': [0, 99, 97, 96, 95, 93, 94, 98, 101, 100, 0], 'distance': np.float64(95.94313062205805), 'cost_breakdown': {'base_cost': np.float64(537237.9053591135), 'distance_cost': np.float64(537237.9053591135), 'stop_cost': 49500, 'cod_cost': 29644.552742861735, 'waiting_cost': 820296.0657338458, 'total_cost': np.float64(1436678.523835821)}}, {'route_id': 2, 'route': [0, 76, 2, 3, 5, 4, 6, 8, 7, 10, 9, 12, 11, 0], 'distance': np.float64(59.814407805714055), 'cost_breakdown': {'base_cost': np.float64(342142.8021508559), 'distance_cost': np.float64(342142.8021508559), 'stop_cost': 66000, 'cod_cost': 65656.86526915245, 'waiting_cost': 1247059.837202738, 'total_cost': np.float64(1720859.5046227463)}}, {'route_id': 3, 'route': [0, 14, 18, 19, 20, 16, 17, 15, 13, 0], 'distance': np.float64(95.88470913081827), 'cost_breakdown': {'base_cost': np.float64(536922.4293064186), 'distance_cost': np.float64(536922.4293064186), 'stop_cost': 44000, 'cod_cost': 36797.09102515174, 'waiting_cost': 874594.4352398044, 'total_cost': np.float64(1492313.9555713749)}}, {'route_id': 4, 'route': [0, 82, 79, 77, 72, 71, 74, 78, 80, 81, 64, 0], 'distance': np.float64(128.04033086271068), 'cost_breakdown': {'base_cost': np.float64(710562.7866586377), 'distance_cost': np.float64(710562.7866586377), 'stop_cost': 55000, 'cod_cost': 34050.016725407295, 'waiting_cost': 1047451.1751536537, 'total_cost': np.float64(1847063.9785376987)}}, {'route_id': 5, 'route': [0, 91, 88, 87, 84, 83, 85, 86, 89, 90, 22, 21, 0], 'distance': np.float64(95.64435393492283), 'cost_breakdown': {'base_cost': np.float64(535624.5112485833), 'distance_cost': np.float64(535624.5112485833), 'stop_cost': 60500, 'cod_cost': 64492.811758950054, 'waiting_cost': 1181897.569917524, 'total_cost': np.float64(1842514.8929250573)}}, {'route_id': 6, 'route': [0, 23, 25, 26, 28, 30, 35, 37, 40, 31, 29, 27, 24, 0], 'distance': np.float64(87.7373073865223), 'cost_breakdown': {'base_cost': np.float64(492926.45988722047), 'distance_cost': np.float64(492926.45988722047), 'stop_cost': 66000, 'cod_cost': 53170.9338506001, 'waiting_cost': 1252430.5617099341, 'total_cost': np.float64(1864527.9554477548)}}, {'route_id': 7, 'route': [0, 33, 34, 38, 39, 36, 32, 53, 50, 48, 44, 56, 0], 'distance': np.float64(133.6826528989268), 'cost_breakdown': {'base_cost': np.float64(741031.3256542047), 'distance_cost': np.float64(741031.3256542047), 'stop_cost': 60500, 'cod_cost': 46938.83566116961, 'waiting_cost': 1189416.5078312447, 'total_cost': np.float64(2037886.669146619)}}, {'route_id': 8, 'route': [0, 58, 60, 52, 51, 49, 47, 46, 45, 41, 42, 43, 61, 0], 'distance': np.float64(148.09325390032024), 'cost_breakdown': {'base_cost': np.float64(818848.5710617292), 'distance_cost': np.float64(818848.5710617292), 'stop_cost': 66000, 'cod_cost': 49752.67821031479, 'waiting_cost': 1278057.1712289953, 'total_cost': np.float64(2212658.4205010394)}}, {'route_id': 9, 'route': [0, 59, 57, 54, 55, 73, 62, 65, 69, 70, 67, 63, 0], 'distance': np.float64(115.28276812370194), 'cost_breakdown': {'base_cost': np.float64(641671.9478679905), 'distance_cost': np.float64(641671.9478679905), 'stop_cost': 60500, 'cod_cost': 52209.782613979376, 'waiting_cost': 1180674.478032686, 'total_cost': np.float64(1935056.208514656)}}, {'route_id': 10, 'route': [0, 75, 66, 68, 92, 0], 'distance': np.float64(74.13490171189571), 'cost_breakdown': {'base_cost': np.float64(419473.4692442368), 'distance_cost': np.float64(419473.4692442368), 'stop_cost': 22000, 'cod_cost': 14633.039568143484, 'waiting_cost': 408721.293192192, 'total_cost': np.float64(864827.8020045722)}}]"
Nearest Neighbor,1311.4998703102585,10,100,10,0.0,10.0,16,1,4.0,90.5,100.0,10.0,26.874709300753377,0.7030418861795207,1311.4998703102585,1.0,13.114998703102586,131.14998703102586,0.0007619048371895172,0.46091313917078,1.0,"{'total_violations': 200000.0, 'capacity_violations': True, 'vehicle_count_violations': False, 'customer_visit_violations': True, 'depot_violations': False, 'time_window_violations': False}",False,0.0007619048371895172,0.0,18711577.26666428,14267.31156461169,187115.77266664282,1871157.7266664281,express,ahamove,"[{'route_id': 1, 'route': [0, 21, 22, 23, 24, 27, 29, 28, 26, 25, 30, 31, 35, 37, 0], 'distance': np.float64(92.97583841114069), 'cost_breakdown': {'base_cost': np.float64(521214.5274201597), 'distance_cost': np.float64(521214.5274201597), 'stop_cost': 71500, 'cod_cost': 45225.894487218866, 'waiting_cost': 1390354.0660140996, 'total_cost': np.float64(2028294.4879214782)}}, {'route_id': 2, 'route': [0, 68, 66, 64, 63, 67, 70, 69, 65, 62, 73, 75, 0], 'distance': np.float64(63.05598885701291), 'cost_breakdown': {'base_cost': np.float64(359647.3398278697), 'distance_cost': np.float64(359647.3398278697), 'stop_cost': 60500, 'cod_cost': 41237.290246791796, 'waiting_cost': 1189147.0362769766, 'total_cost': np.float64(1650531.666351638)}}, {'route_id': 3, 'route': [0, 6, 4, 5, 7, 9, 10, 12, 11, 8, 76, 2, 3, 99, 0], 'distance': np.float64(90.60041095786515), 'cost_breakdown': {'base_cost': np.float64(508387.21917247184), 'distance_cost': np.float64(508387.21917247184), 'stop_cost': 71500, 'cod_cost': 52558.25369354044, 'waiting_cost': 1390441.7109472963, 'total_cost': np.float64(2022887.1838133088)}}, {'route_id': 4, 'route': [0, 44, 43, 42, 41, 45, 46, 47, 49, 51, 52, 53, 50, 48, 32, 36, 60, 0], 'distance': np.float64(147.0905266333047), 'cost_breakdown': {'base_cost': np.float64(813433.8438198454), 'distance_cost': np.float64(813433.8438198454), 'stop_cost': 88000, 'cod_cost': 72592.02215627888, 'waiting_cost': 1678373.617072506, 'total_cost': np.float64(2652399.4830486304)}}, {'route_id': 5, 'route': [0, 91, 90, 89, 86, 85, 84, 83, 87, 88, 92, 97, 100, 95, 0], 'distance': np.float64(132.99756218770892), 'cost_breakdown': {'base_cost': np.float64(737331.8358136282), 'distance_cost': np.float64(737331.8358136282), 'stop_cost': 71500, 'cod_cost': 60111.008083489876, 'waiting_cost': 1378729.2240671718, 'total_cost': np.float64(2247672.06796429)}}, {'route_id': 6, 'route': [0, 14, 18, 19, 20, 16, 17, 15, 13, 56, 0], 'distance': np.float64(164.89765374122294), 'cost_breakdown': {'base_cost': np.float64(909592.3302026038), 'distance_cost': np.float64(909592.3302026038), 'stop_cost': 49500, 'cod_cost': 42928.52403426188, 'waiting_cost': 937774.8621419243, 'total_cost': np.float64(1939795.7163787899)}}, {'route_id': 7, 'route': [0, 33, 34, 38, 39, 40, 58, 54, 0], 'distance': np.float64(152.57053420825886), 'cost_breakdown': {'base_cost': np.float64(843025.8847245979), 'distance_cost': np.float64(843025.8847245979), 'stop_cost': 38500, 'cod_cost': 28721.71270337363, 'waiting_cost': 719972.6371227242, 'total_cost': np.float64(1630220.2345506959)}}, {'route_id': 8, 'route': [0, 96, 98, 94, 93, 101, 82, 79, 77, 0], 'distance': np.float64(177.0983667756168), 'cost_breakdown': {'base_cost': np.float64(975476.1805883307), 'distance_cost': np.float64(975476.1805883307), 'stop_cost': 44000, 'cod_cost': 29207.51600316197, 'waiting_cost': 745664.886481461, 'total_cost': np.float64(1794348.5830729539)}}, {'route_id': 9, 'route': [0, 55, 57, 59, 61, 81, 80, 78, 74, 71, 0], 'distance': np.float64(176.19544602821372), 'cost_breakdown': {'base_cost': np.float64(970600.4085523541), 'distance_cost': np.float64(970600.4085523541), 'stop_cost': 49500, 'cod_cost': 45121.241797560964, 'waiting_cost': 950069.6312866163, 'total_cost': np.float64(2015291.2816365315)}}, {'route_id': 10, 'route': [0, 72, 0], 'distance': np.float64(114.0175425099138), 'cost_breakdown': {'base_cost': np.float64(634839.7295535345), 'distance_cost': np.float64(634839.7295535345), 'stop_cost': 5500, 'cod_cost': 3640.0875299596128, 'waiting_cost': 86156.74484247206, 'total_cost': np.float64(730136.5619259662)}}]"
Improvement (%),24.87%,0.00%,0.00%,0.00%,,0.00%,-25.00%,600.00%,-58.17%,0.00%,0.00%,500.00%,-60.58%,25.59%,24.87%,0.00%,-24.87%,-24.87%,33.06%,-53.48%,-100.00%,,,-98.70%,,-7.79%,22.73%,-7.79%,-7.79%,,,
