method,total_distance,num_routes,num_customers,num_vehicles_used,execution_time,avg_route_length,max_route_length,min_route_length,route_length_std,avg_utilization,max_utilization,min_utilization,utilization_std,load_balance_index,total_cost,cost_per_km,cost_per_customer,cost_per_route,solution_quality,efficiency_score,feasibility_score,constraint_violations,is_feasible,fitness,penalty,shipping_total_cost,shipping_cost_per_km,shipping_cost_per_customer,shipping_cost_per_route,shipping_service_type,shipping_cost_model,shipping_route_costs
GA,8.037438434437766,2,50,2,1.706376075744629,25.0,26,24,1.0,90.5,91.0,90.0,0.5,0.994475138121547,8.037438434437766,1.0,0.16074876868875532,4.018719217218883,0.11065082293556025,0.2931553567985335,0.0,"{'total_violations': 100000.0, 'capacity_violations': False, 'vehicle_count_violations': False, 'customer_visit_violations': True, 'depot_violations': False, 'time_window_violations': False}",False,9.994099739519206e-06,100000.0,5980406.904666394,744068.7668651156,119608.13809332789,2990203.452333197,express,ahamove,"[{'route_id': 1, 'route': [0, 27, 23, 30, 38, 20, 46, 36, 44, 45, 35, 47, 5, 17, 15, 2, 8, 13, 14, 7, 1, 6, 18, 31, 32, 4, 11, 3, 0], 'distance': np.float64(1.4691305707952074), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': 15709, 'stop_cost': 148500, 'cod_cost': 93328.8349552169, 'waiting_cost': 3015679.255422922, 'total_cost': 3273217.0903781387}}, {'route_id': 2, 'route': [0, 12, 19, 25, 43, 37, 34, 41, 40, 50, 39, 24, 29, 33, 21, 28, 48, 26, 22, 49, 42, 16, 9, 10, 0], 'distance': np.float64(1.893921578328586), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': 15709, 'stop_cost': 126500, 'cod_cost': 103389.08476814296, 'waiting_cost': 2461591.729520112, 'total_cost': 2707189.814288255}}]"
Nearest Neighbor,3.0158047673813937,2,50,2,0.0,25.0,29,21,4.0,90.5,99.5,81.5,9.0,0.9005524861878453,3.0158047673813937,1.0,0.06031609534762787,1.5079023836906968,0.249016089657186,0.5997169331004435,1.0,"{'total_violations': 100000.0, 'capacity_violations': False, 'vehicle_count_violations': False, 'customer_visit_violations': True, 'depot_violations': False, 'time_window_violations': False}",False,0.249016089657186,0.0,5877579.290764185,1948925.6580317875,117551.58581528369,2938789.6453820923,express,ahamove,"[{'route_id': 1, 'route': [0, 1, 6, 7, 14, 13, 8, 9, 10, 16, 2, 15, 17, 5, 22, 47, 26, 23, 30, 48, 28, 27, 21, 33, 29, 24, 38, 20, 41, 46, 0], 'distance': np.float64(1.2689282283264074), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': 15709, 'stop_cost': 159500, 'cod_cost': 92452.45545638801, 'waiting_cost': 3173144.7190549253, 'total_cost': 3440806.1745113134}}, {'route_id': 2, 'route': [0, 11, 3, 12, 19, 25, 4, 31, 32, 18, 42, 49, 40, 39, 50, 35, 45, 44, 36, 34, 37, 43, 0], 'distance': np.float64(1.7468765390549865), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': 15709, 'stop_cost': 115500, 'cod_cost': 80070.59044946749, 'waiting_cost': 2225493.525803404, 'total_cost': 2436773.116252871}}]"
Improvement (%),-166.51%,0.00%,0.00%,0.00%,,0.00%,-10.34%,14.29%,-75.00%,0.00%,-8.54%,10.43%,-94.44%,10.43%,-166.51%,0.00%,166.51%,166.51%,-55.56%,-51.12%,-100.00%,,,-100.00%,,1.75%,-61.82%,1.75%,1.75%,,,
