generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,best_distance,avg_distance,diversity
0,99,9.97976761603859e-06,9.990837103871061e-06,9.984420113452278e-06,3.0183715137043457e-09,10.712996955865457,11.010726401867664,48.52731395588538
1,98,9.979733089910319e-06,9.992862373893665e-06,9.984852163541012e-06,3.4626160165803165e-09,10.427243158884902,10.92429454251443,47.833368398905954
2,98,9.979796543773588e-06,9.992862373893665e-06,9.985348497479303e-06,3.829024727711122e-09,10.427243158884902,10.744731206439315,47.62066063538818
3,98,9.979764594236317e-06,9.992862373893665e-06,9.985294757935538e-06,4.092196241166854e-09,10.427243158884902,10.877636910087524,47.95897328003366
4,98,9.979766586249102e-06,9.992862373893665e-06,9.985526474307977e-06,4.121668918730748e-09,10.427243158884902,10.492714563974902,48.08100147275405
5,98,9.979728591353786e-06,9.992862373893665e-06,9.986077380371735e-06,4.654102706614337e-09,10.427243158884902,10.686953390307359,47.93540921523248
6,98,9.979783988228463e-06,9.99391714219116e-06,9.986342724518245e-06,5.120898517022141e-09,9.865601768487519,10.785860683023662,47.49042709867452
7,98,9.979755516976275e-06,9.99391714219116e-06,9.985803149393742e-06,4.6162648009786934e-09,9.865601768487519,10.783575559769423,46.87860298758679
8,98,9.979717121748191e-06,9.993937412310542e-06,9.986211428692964e-06,4.883450684430397e-09,9.662654160626962,10.773512095142513,46.255417630969916
9,98,9.97983106526556e-06,9.993937412310542e-06,9.986725627204864e-06,5.351944288075667e-09,9.662654160626962,10.520354764495679,45.42478434672838
10,98,9.979795235274745e-06,9.993937412310542e-06,9.986547234240958e-06,5.1600182371904394e-09,9.662654160626962,10.572342066717422,46.44329896907217
11,98,9.979720194849636e-06,9.993937412310542e-06,9.986623504823303e-06,4.996441384687407e-09,9.662654160626962,10.622243910399025,46.21186618977488
12,98,9.979733277168544e-06,9.993937412310542e-06,9.985970353053224e-06,4.93650092024786e-09,9.662654160626962,10.436410396635296,46.97601514832737
13,98,9.979695472495224e-06,9.993937412310542e-06,9.985966966703228e-06,5.109336406142965e-09,9.662654160626962,10.472111990023496,47.305912055543864
14,98,9.979769177223103e-06,9.993937412310542e-06,9.985991812094454e-06,5.223294960716308e-09,9.662654160626962,10.224141352812238,46.73258994319377
15,98,9.979798709865992e-06,9.993979284949194e-06,9.98648543481916e-06,5.003469209278418e-09,9.243421355427468,10.067960057958613,45.997475278771304
16,98,9.97985659072108e-06,9.993979284949194e-06,9.98650587977819e-06,5.1780215697304814e-09,9.243421355427468,9.864740861851653,44.429202608878605
17,98,9.979915545379351e-06,9.993979284949194e-06,9.987628100779737e-06,5.654046786010821e-09,9.243421355427468,9.741067073469875,40.374921102461606
18,98,9.979956765931634e-06,9.993979284949194e-06,9.987397804629951e-06,5.510554413895095e-09,9.243421355427468,9.599205035389152,38.53124342520513
19,98,9.980003889076289e-06,9.993979284949194e-06,9.987211310141402e-06,4.96637152225653e-09,9.243421355427468,9.52439467745131,39.72207027140753
20,98,9.979960527534213e-06,9.993979284949194e-06,9.987667874776985e-06,5.167275026028563e-09,9.243421355427468,9.439096098330994,40.30338733431517
