dataset,customers,capacity,vehicles,ga_distance,ga_cost,ga_routes,ga_utilization,ga_efficiency,ga_feasible,generations,population,bks_distance,bks_vehicles,gap_percent,vehicle_diff,quality
R204,100,200,10,1240.2802890030912,1240.2802890030912,8,91.125,0.5375039802878316,True,1000,100,825.52,2,50.242306546551404,6,VERY_POOR
RC101,100,200,11,1230.5696164402673,1230.5696164402673,10,86.2,0.48878896820009365,True,1000,100,1619.8,14,-24.02953349547677,-4,EXCELLENT
RC208,100,200,11,1250.4307911462224,1250.4307911462224,10,86.2,0.4798976100925951,True,1000,100,828.14,3,50.99268132758017,7,VERY_POOR
R208,100,200,10,1300.6946527661498,1300.6946527661498,9,81.0,0.4609272912509924,False,1000,100,726.75,2,78.9741524274028,7,VERY_POOR
R209,100,200,10,1198.0783017755473,1198.0783017755473,10,72.9,0.45400716649707024,True,1000,100,909.68,3,31.703269476689318,7,VERY_POOR
R205,100,200,10,1153.5426517328556,1153.5426517328556,8,91.125,0.532949218158011,False,1000,100,994.42,3,16.001553843733596,5,VERY_POOR
C207,100,200,12,1247.122944697176,1247.122944697176,10,90.5,0.5113813834986791,False,1000,100,588.29,3,111.99118541827605,7,VERY_POOR
C102,100,200,12,1113.021697651275,1113.021697651275,10,90.5,0.520508518399862,False,1000,100,828.94,10,34.2704776764633,0,VERY_POOR
RC205,100,200,11,1248.631069460945,1248.631069460945,9,95.77777777777777,0.5358085544228067,True,1000,100,1297.5,4,-3.7663915637036687,5,EXCELLENT
C109,100,200,12,1104.7427416709213,1104.7427416709213,10,90.5,0.5143544725487909,False,1000,100,828.94,10,33.27173760114378,0,VERY_POOR
R111,100,200,10,1287.1907991177259,1287.1907991177259,9,81.0,0.49830137326150514,False,1000,100,1048.7,10,22.741565663938765,-1,VERY_POOR
RC202,100,200,11,1250.3453283212743,1250.3453283212743,10,86.2,0.48479561015402584,True,1000,100,1365.6,3,-8.439855863995723,7,EXCELLENT
R107,100,200,10,1166.4654834842713,1166.4654834842713,9,81.0,0.4892670548671278,False,1000,100,1104.6,10,5.600713695842062,-1,POOR
C105,100,200,12,1061.5009490943767,1061.5009490943767,11,82.27272727272727,0.4706898475698296,True,1000,100,828.94,10,28.055221016524307,1,VERY_POOR
R202,100,200,10,1204.1547090970967,1204.1547090970967,9,81.0,0.4915253224876963,True,1000,100,1191.7,3,1.0451211795835036,6,GOOD
RC107,100,200,11,1291.7673374487224,1291.7673374487224,10,86.2,0.508118272504916,True,1000,100,1207.8,10,6.952089538725158,0,POOR
RC106,100,200,11,1408.0508083839368,1408.0508083839368,10,86.2,0.478684560981159,True,1000,100,1373.2,11,2.5379266227743034,-1,GOOD
R203,100,200,10,1204.4598657642157,1204.4598657642157,9,81.0,0.4945176878092737,False,1000,100,939.5,3,28.20222094350353,6,VERY_POOR
C201,100,200,12,1304.5446997036433,1304.5446997036433,11,82.27272727272727,0.4715573778289496,False,1000,100,591.56,3,120.52618495226916,8,VERY_POOR
R106,100,200,10,1242.296430242417,1242.296430242417,9,81.0,0.4803227112201255,False,1000,100,1252.4,12,-0.8067366462458515,-3,EXCELLENT
RC203,100,200,11,1268.996600392757,1268.996600392757,9,95.77777777777777,0.5343774757658066,False,1000,100,1049.6,3,20.902877324005065,6,VERY_POOR
R110,100,200,10,1209.7834163447394,1209.7834163447394,10,72.9,0.4516254974080079,False,1000,100,1068.0,10,13.275600781342641,0,VERY_POOR
C108,100,200,12,1096.2537976779684,1096.2537976779684,11,82.27272727272727,0.4963998222839111,True,1000,100,828.94,10,32.247665413415724,1,VERY_POOR
