dataset,customers,capacity,vehicles,ga_distance,ga_cost,ga_routes,ga_utilization,ga_efficiency,ga_feasible,generations,population,bks_distance,bks_vehicles,gap_percent,vehicle_diff,quality
R109,100,200,10,1256.8463593792167,1256.8463593792167,10,72.9,0.4643512411102953,True,1000,100,1146.9,11,9.586394574872836,-1,POOR
RC105,100,200,11,1286.288434907262,1286.288434907262,10,86.2,0.5155965607189078,True,1000,100,1513.7,13,-15.023555862637119,-3,EXCELLENT
C202,100,200,12,1242.8886586124256,1242.8886586124256,11,82.27272727272727,0.46210721770813823,False,1000,100,591.56,3,110.1035666056572,8,VERY_POOR
C107,100,200,12,1112.297916393332,1112.297916393332,10,90.5,0.5104878148247303,False,1000,100,828.94,10,34.18316360572922,0,VERY_POOR
R105,100,200,10,1152.185679373233,1152.185679373233,9,81.0,0.4834855759966455,True,1000,100,1377.1,14,-16.33246101421589,-5,EXCELLENT
R112,100,200,10,1205.380033297518,1205.380033297518,9,81.0,0.47998852139377013,False,1000,100,982.0,9,22.747457565938685,0,VERY_POOR
RC201,100,200,11,1193.0201758522908,1193.0201758522908,9,95.77777777777777,0.5445413129678237,False,1000,100,1406.9,4,-15.202205142349086,5,EXCELLENT
R104,100,200,10,1256.713618307989,1256.713618307989,9,81.0,0.48572558359703016,False,1000,100,1007.3,9,24.760609382308058,0,VERY_POOR
C106,100,200,12,1150.971390566767,1150.971390566767,11,82.27272727272727,0.47260589789789076,False,1000,100,828.94,10,38.84857656365563,1,VERY_POOR
C203,100,200,12,1340.383985309528,1340.383985309528,11,82.27272727272727,0.46369785018648924,False,1000,100,591.17,3,126.73410107236973,8,VERY_POOR
R201,100,200,10,1179.7459802000412,1179.7459802000412,10,72.9,0.4542640473266153,False,1000,100,1252.37,4,-5.798926818748346,6,EXCELLENT
RC104,100,200,11,1259.197884111995,1259.197884111995,10,86.2,0.48369075891473073,False,1000,100,1135.5,10,10.893693008542062,0,VERY_POOR
R108,100,200,10,1218.939249158681,1218.939249158681,10,72.9,0.47824381395604126,True,1000,100,960.9,9,26.853912910675508,1,VERY_POOR
RC108,100,200,11,1273.3174389955782,1273.3174389955782,9,95.77777777777777,0.5318376679778392,True,1000,100,1139.8,10,11.714111159464665,-1,VERY_POOR
RC103,100,200,11,1322.4301468165024,1322.4301468165024,10,86.2,0.48277156243836544,False,1000,100,1261.7,11,4.813358707815041,-1,ACCEPTABLE
R210,100,200,10,1177.9883069007165,1177.9883069007165,9,81.0,0.49526589476049315,True,1000,100,939.34,3,25.405955979806716,6,VERY_POOR
R206,100,200,10,1177.8520471667914,1177.8520471667914,8,91.125,0.5307081387531174,False,1000,100,906.14,3,29.98565863628042,5,VERY_POOR
C204,100,200,12,1303.9092354936224,1303.9092354936224,12,75.41666666666667,0.4608125785541449,False,1000,100,590.6,3,120.77704630775861,9,VERY_POOR
C101,100,200,12,1159.11248231754,1159.11248231754,10,90.5,0.5223425085872013,True,1000,100,828.94,10,39.83068525074673,0,VERY_POOR
R103,100,200,10,1226.6231778432427,1226.6231778432427,10,72.9,0.47783411179357965,False,1000,100,1292.7,13,-5.111535712598229,-3,EXCELLENT
RC206,100,200,11,1297.6502256003448,1297.6502256003448,9,95.77777777777777,0.5365824703605527,True,1000,100,1146.3,3,13.203369589142882,6,VERY_POOR
C208,100,200,12,1241.8175093723062,1241.8175093723062,10,90.5,0.5205494405407596,False,1000,100,588.32,3,111.07858127758806,7,VERY_POOR
RC207,100,200,11,1328.6159217269424,1328.6159217269424,10,86.2,0.49833097011181754,True,1000,100,1061.1,3,25.211188552157427,7,VERY_POOR
R102,100,200,10,1225.942523945233,1225.942523945233,9,81.0,0.4832159854649863,False,1000,100,1486.1,17,-17.50605450876569,-8,EXCELLENT
C205,100,200,12,1215.9096023507313,1215.9096023507313,11,82.27272727272727,0.46387406975429024,False,1000,100,588.88,3,106.47833214759058,8,VERY_POOR
R207,100,200,10,1226.007357085825,1226.007357085825,10,72.9,0.4218602137118924,False,1000,100,897.27,2,36.637506780102434,8,VERY_POOR
R211,100,200,10,1211.5240173995444,1211.5240173995444,9,81.0,0.47496862569521087,True,1000,100,892.71,2,35.71305546028882,7,VERY_POOR
RC102,100,200,11,1289.07602455525,1289.07602455525,10,86.2,0.4887257843741732,True,1000,100,1457.4,12,-11.5496072076815,-2,EXCELLENT
RC204,100,200,11,1377.8731838030533,1377.8731838030533,10,86.2,0.48076704979980767,True,1000,100,798.0,3,72.66581250664828,7,VERY_POOR
R101,100,200,10,1134.0982055591808,1134.0982055591808,9,81.0,0.4574631907911403,False,1000,100,1650.8,19,-31.300084470609352,-10,EXCELLENT
C103,100,200,12,1139.74691851165,1139.74691851165,11,82.27272727272727,0.4597129363920574,False,1000,100,828.06,10,37.6406200651704,1,VERY_POOR
C206,100,200,12,1317.100932686103,1317.100932686103,11,82.27272727272727,0.49122604754609944,False,1000,100,588.49,3,123.81024871894222,8,VERY_POOR
