method,total_distance,num_routes,num_customers,num_vehicles_used,execution_time,avg_route_length,max_route_length,min_route_length,route_length_std,avg_utilization,max_utilization,min_utilization,utilization_std,load_balance_index,total_cost,cost_per_km,cost_per_customer,cost_per_route,solution_quality,efficiency_score,feasibility_score,constraint_violations,is_feasible,fitness,penalty,shipping_total_cost,shipping_cost_per_km,shipping_cost_per_customer,shipping_cost_per_route,shipping_service_type,shipping_cost_model,shipping_route_costs
GA,306.8837688276032,2,50,2,26.584950923919678,25.0,26,24,1.0,90.5,90.5,90.5,0.0,1.0,306.8837688276032,1.0,6.137675376552064,153.4418844138016,0.003247978949354557,0.5512991915797418,1.0,"{'total_violations': 0.0, 'capacity_violations': False, 'vehicle_count_violations': False, 'customer_visit_violations': False, 'depot_violations': False, 'time_window_violations': False}",True,0.002970628084569964,0.0,2128671.096581512,6936.408219677876,42573.42193163024,1064335.548290756,express,ahamove,"[{'route_id': 1, 'route': [0, 42, 49, 40, 39, 50, 35, 45, 20, 38, 24, 48, 30, 26, 23, 28, 27, 21, 33, 29, 41, 46, 44, 36, 34, 37, 43, 0], 'distance': np.float64(228.73667735319523), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(1238614.0577072543), 'stop_cost': 143000, 'cod_cost': 94449.28712633648, 'waiting_cost': 0, 'total_cost': np.float64(1476063.3448335908)}}, {'route_id': 2, 'route': [0, 22, 47, 5, 17, 15, 2, 16, 13, 14, 8, 9, 10, 7, 1, 6, 18, 31, 32, 4, 25, 19, 12, 3, 11, 0], 'distance': np.float64(78.14709147440794), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(425430.2939618029), 'stop_cost': 132000, 'cod_cost': 95177.4577861182, 'waiting_cost': 0, 'total_cost': np.float64(652607.7517479211)}}]"
Nearest Neighbor,323.0686006673986,2,50,2,0.0012121200561523438,25.0,29,21,4.0,90.5,99.5,81.5,9.0,0.9005524861878453,323.0686006673986,1.0,6.4613720133479715,161.5343003336993,0.003085766402362228,0.501344803798514,1.0,"{'total_violations': 0.0, 'capacity_violations': False, 'vehicle_count_violations': False, 'customer_visit_violations': False, 'depot_violations': False, 'time_window_violations': False}",True,0.003085766402362228,0.0,2228034.9513351703,6896.476311014044,44560.699026703405,1114017.4756675852,express,ahamove,"[{'route_id': 1, 'route': [0, 1, 6, 7, 14, 13, 8, 9, 10, 16, 2, 15, 17, 5, 22, 47, 26, 23, 30, 48, 28, 27, 21, 33, 29, 24, 38, 20, 41, 46, 0], 'distance': np.float64(135.38624297101785), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(734521.7120434964), 'stop_cost': 159500, 'cod_cost': 116255.42775352798, 'waiting_cost': 0, 'total_cost': np.float64(1010277.1397970244)}}, {'route_id': 2, 'route': [0, 11, 3, 12, 19, 25, 4, 31, 32, 18, 42, 49, 40, 39, 50, 35, 45, 44, 36, 34, 37, 43, 0], 'distance': np.float64(187.6823576963808), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(1016920.7315604562), 'stop_cost': 115500, 'cod_cost': 85337.07997768954, 'waiting_cost': 0, 'total_cost': np.float64(1217757.8115381456)}}]"
Improvement (%),5.01%,0.00%,0.00%,0.00%,-2193160.54%,0.00%,-10.34%,14.29%,-75.00%,0.00%,-9.05%,11.04%,-100.00%,11.04%,5.01%,0.00%,-5.01%,-5.01%,5.26%,9.96%,0.00%,,0.00%,-3.73%,,-4.46%,0.58%,-4.46%,-4.46%,,,
