method,total_distance,num_routes,num_customers,num_vehicles_used,execution_time,avg_route_length,max_route_length,min_route_length,route_length_std,avg_utilization,max_utilization,min_utilization,utilization_std,load_balance_index,total_cost,cost_per_km,cost_per_customer,cost_per_route,solution_quality,efficiency_score,feasibility_score,constraint_violations,is_feasible,fitness,penalty,shipping_total_cost,shipping_cost_per_km,shipping_cost_per_customer,shipping_cost_per_route,shipping_service_type,shipping_cost_model,shipping_route_costs
GA,1076.4561224863407,10,100,10,13.822266340255737,10.0,13,5,2.569046515733026,90.5,125.0,45.0,23.817010727629107,0.7368286107444297,1076.4561224863407,1.0,10.764561224863407,107.64561224863408,0.0009281120401380217,0.47575565474588805,1.0,"{'total_violations': 0.0, 'capacity_violations': False, 'vehicle_count_violations': False, 'customer_visit_violations': False, 'depot_violations': False, 'time_window_violations': False}",True,0.0008616809408469961,0.0,10381938.57410896,9644.553416751733,103819.3857410896,1038193.857410896,express,ahamove,"[{'route_id': 1, 'route': [0, 24, 27, 29, 31, 40, 37, 35, 30, 28, 26, 25, 21, 0], 'distance': np.float64(86.96623105046189), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(473053.6476724942), 'stop_cost': 66000, 'cod_cost': 54888.95903392084, 'waiting_cost': 0, 'total_cost': np.float64(593942.6067064151)}}, {'route_id': 2, 'route': [0, 33, 34, 38, 39, 32, 53, 44, 56, 0], 'distance': np.float64(132.79192497456026), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(720512.3948626254), 'stop_cost': 44000, 'cod_cost': 35541.33304480263, 'waiting_cost': 0, 'total_cost': np.float64(800053.727907428)}}, {'route_id': 3, 'route': [0, 58, 60, 52, 51, 49, 47, 46, 45, 41, 42, 43, 61, 0], 'distance': np.float64(148.09325390032024), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(803139.5710617292), 'stop_cost': 66000, 'cod_cost': 45703.79970227873, 'waiting_cost': 0, 'total_cost': np.float64(914843.3707640079)}}, {'route_id': 4, 'route': [0, 57, 54, 62, 69, 70, 67, 63, 75, 0], 'distance': np.float64(112.55935350564408), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(611256.508930478), 'stop_cost': 44000, 'cod_cost': 41737.275755193055, 'waiting_cost': 0, 'total_cost': np.float64(696993.7846856711)}}, {'route_id': 5, 'route': [0, 64, 66, 68, 91, 90, 99, 97, 92, 80, 55, 73, 78, 0], 'distance': np.float64(283.7700050771616), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(1535794.0274166728), 'stop_cost': 66000, 'cod_cost': 42909.72992457887, 'waiting_cost': 0, 'total_cost': np.float64(1644703.7573412517)}}, {'route_id': 6, 'route': [0, 89, 86, 85, 83, 84, 87, 88, 11, 12, 7, 0], 'distance': np.float64(107.53829367260492), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(584142.7858320666), 'stop_cost': 55000, 'cod_cost': 49555.467540557365, 'waiting_cost': 0, 'total_cost': np.float64(688698.2533726239)}}, {'route_id': 7, 'route': [0, 98, 94, 93, 95, 96, 76, 14, 18, 0], 'distance': np.float64(139.57548340859233), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(757143.6104063987), 'stop_cost': 44000, 'cod_cost': 35144.22375341714, 'waiting_cost': 0, 'total_cost': np.float64(836287.8341598158)}}, {'route_id': 8, 'route': [0, 48, 16, 15, 13, 81, 74, 71, 72, 77, 79, 0], 'distance': np.float64(231.25494632306783), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(1252212.7101445664), 'stop_cost': 55000, 'cod_cost': 47034.11216589893, 'waiting_cost': 0, 'total_cost': np.float64(1354246.8223104654)}}, {'route_id': 9, 'route': [0, 82, 101, 100, 22, 23, 8, 17, 9, 10, 0], 'distance': np.float64(243.1642380206005), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(1316522.8853112427), 'stop_cost': 49500, 'cod_cost': 31590.91126080288, 'waiting_cost': 0, 'total_cost': np.float64(1397613.7965720454)}}, {'route_id': 10, 'route': [0, 3, 2, 5, 4, 6, 19, 20, 59, 36, 50, 65, 0], 'distance': np.float64(250.60971645426682), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(1356728.4688530408), 'stop_cost': 60500, 'cod_cost': 37326.151436195425, 'waiting_cost': 0, 'total_cost': np.float64(1454554.6202892363)}}]"
Nearest Neighbor,1311.4998703102585,10,100,10,0.007933855056762695,10.0,16,1,4.0,90.5,100.0,10.0,26.874709300753377,0.7030418861795207,1311.4998703102585,1.0,13.114998703102586,131.14998703102586,0.0007619048371895172,0.46091313917078,1.0,"{'total_violations': 100000.0, 'capacity_violations': True, 'vehicle_count_violations': False, 'customer_visit_violations': False, 'depot_violations': False, 'time_window_violations': False}",False,0.0007619048371895172,0.0,8085968.111142797,6165.435692517391,80859.68111142797,808596.8111142798,express,ahamove,"[{'route_id': 1, 'route': [0, 21, 22, 23, 24, 27, 29, 28, 26, 25, 30, 31, 35, 37, 0], 'distance': np.float64(92.97583841114069), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(505505.5274201597), 'stop_cost': 71500, 'cod_cost': 50475.29245810924, 'waiting_cost': 0, 'total_cost': np.float64(627480.8198782689)}}, {'route_id': 2, 'route': [0, 68, 66, 64, 63, 67, 70, 69, 65, 62, 73, 75, 0], 'distance': np.float64(63.05598885701291), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(343938.3398278697), 'stop_cost': 60500, 'cod_cost': 50197.51153146484, 'waiting_cost': 0, 'total_cost': np.float64(454635.85135933454)}}, {'route_id': 3, 'route': [0, 6, 4, 5, 7, 9, 10, 12, 11, 8, 76, 2, 3, 99, 0], 'distance': np.float64(90.60041095786515), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(492678.21917247184), 'stop_cost': 71500, 'cod_cost': 63538.44226326995, 'waiting_cost': 0, 'total_cost': np.float64(627716.6614357418)}}, {'route_id': 4, 'route': [0, 44, 43, 42, 41, 45, 46, 47, 49, 51, 52, 53, 50, 48, 32, 36, 60, 0], 'distance': np.float64(147.0905266333047), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(797724.8438198454), 'stop_cost': 88000, 'cod_cost': 60535.55257633524, 'waiting_cost': 0, 'total_cost': np.float64(946260.3963961806)}}, {'route_id': 5, 'route': [0, 91, 90, 89, 86, 85, 84, 83, 87, 88, 92, 97, 100, 95, 0], 'distance': np.float64(132.99756218770892), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(721622.8358136282), 'stop_cost': 71500, 'cod_cost': 50937.640362199534, 'waiting_cost': 0, 'total_cost': np.float64(844060.4761758277)}}, {'route_id': 6, 'route': [0, 14, 18, 19, 20, 16, 17, 15, 13, 56, 0], 'distance': np.float64(164.89765374122294), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(893883.3302026038), 'stop_cost': 49500, 'cod_cost': 38151.25913191352, 'waiting_cost': 0, 'total_cost': np.float64(981534.5893345174)}}, {'route_id': 7, 'route': [0, 33, 34, 38, 39, 40, 58, 54, 0], 'distance': np.float64(152.57053420825886), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(827316.8847245979), 'stop_cost': 38500, 'cod_cost': 39852.80563036223, 'waiting_cost': 0, 'total_cost': np.float64(905669.6903549602)}}, {'route_id': 8, 'route': [0, 96, 98, 94, 93, 101, 82, 79, 77, 0], 'distance': np.float64(177.0983667756168), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(959767.1805883307), 'stop_cost': 44000, 'cod_cost': 25204.510466238746, 'waiting_cost': 0, 'total_cost': np.float64(1028971.6910545694)}}, {'route_id': 9, 'route': [0, 55, 57, 59, 61, 81, 80, 78, 74, 71, 0], 'distance': np.float64(176.19544602821372), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(954891.4085523541), 'stop_cost': 49500, 'cod_cost': 36616.3727939379, 'waiting_cost': 0, 'total_cost': np.float64(1041007.781346292)}}, {'route_id': 10, 'route': [0, 72, 0], 'distance': np.float64(114.0175425099138), 'cost_breakdown': {'base_cost': 15709, 'distance_cost': np.float64(619130.7295535345), 'stop_cost': 5500, 'cod_cost': 3999.4242535700178, 'waiting_cost': 0, 'total_cost': np.float64(628630.1538071046)}}]"
Improvement (%),17.92%,0.00%,0.00%,0.00%,-174118.79%,0.00%,-18.75%,400.00%,-35.77%,0.00%,25.00%,350.00%,-11.38%,4.81%,17.92%,0.00%,-17.92%,-17.92%,21.81%,3.22%,0.00%,,,13.10%,,28.39%,56.43%,28.39%,28.39%,,,
